;title_s;authors;year_i;type;id;collected_by;number_authors
356;Extraction de termes, reconnaissance et labellisation de relations dans un thésaurus;['Marie-Noëlle Bessagnet', 'Eric Kergosien', 'Mauro Gaio'];2010;Publication;356;Frank;3
357;Reconsidering Nature of Thesaurus and Its Automatic Construction in Information Network.;['Wen Zeng', 'Huilin Wang', 'Junsheng Zhang'];2010;Publication;357;Frank;3
358;Etat de l'art : Extraction de connaissances à partir de thesaurus pour générer une ontologie.;['Fabien Amarger', 'Catherine Roussey', 'Jean-Pierre Chanet', 'Ollivier Haemmerlé', 'Nathalie Hernandez'];2013;Publication;358;Frank;5
359;The Dutch Art & Architecture Thesaurus Put into Practice: The Example of Anet, Antwerp.;['Karen Andree', 'Reem Weda'];2016;Publication;359;Frank;2
360;Project thesaurus 2020 - Linguistic and ontological aspects.;['Sylvie Reusch', 'Peter Reusch', 'Michael Meschede'];2011;Publication;360;Frank;3
361;Mapping Roget's Thesaurus and WordNet to French.;['Gerard de Melo', 'Gerhard Weikum'];2008;Publication;361;Frank;2
363;Wikipedia Mining for an Association Web Thesaurus Construction.;['Kotaro Nakayama', 'Takahiro Hara', 'Shojiro Nishio'];2007;Publication;363;Frank;3
364;Similarity of Documents Using Reconfiguration of Thesaurus.;['Tomoya Ogawa', 'Nobuhiro Inuzuka'];2004;Publication;364;Frank;2
365;ThesauForm - Traits: A web based collaborative tool to develop a thesaurus for plant functional diversity research.;['Marie-Angélique Laporte', 'Isabelle Mougenot', 'Eric Garnier'];2012;Publication;365;Frank;3
366;ELSST: a broad-based Multilingual Thesaurus for the Social Sciences.;['Lorna Balkan', 'Ken Miller', 'Birgit Austin', 'Anne Etheridge', 'Myriam Garcia Bernabé', 'Pam Miller'];2002;Publication;366;Frank;6
367;Hierarchical Web Catalog Integration with Conceptual Relationships in a Thesaurus.;['Ing-Xiang Chen', 'Jui-Chi Ho', 'Cheng-Zen Yang'];2007;Publication;367;Frank;3
368;Identifying Syntactic Role of Antecedent in Korean Relative Clause Using Corpus and Thesaurus Information.;['Hui-Feng Li', 'Jong-Hyeok Lee', 'Gary Geunbae Lee'];1998;Publication;368;Frank;3
369;Query Expansion in Information Retrieval Systems using a Bayesian Network-Based Thesaurus;['Luis M. de Campos', 'Juan M. Fernández-Luna', 'Juan F. Huete'];2013;Publication;369;Frank;3
370;Philosophische Dokumentation. Literatur-Dokumentation ohne strukturierten Thesaurus;['N. Henrichs'];1970;Publication;370;Frank;1
371;Generating Fuzzy Thesaurus by Degree of Similarity in Fuzzy Covering.;['Rolly Intan', 'Masao Mukaidono'];2003;Publication;371;Frank;2
372;Getty Thesaurus of Geographic Names Online;['Getty Institute'];2007;Publication;372;Frank;1
373;The NCI Thesaurus quality assurance life cycle.;['Sherri de Coronado', 'Lawrence W. Wright', 'Gilberto Fragoso', 'Margaret W. Haber', 'Elizabeth A. Hahn-Dantona', 'Francis W. Hartel', 'Sharon L. Quan', 'Tracy Safran', 'Nicole Thomas', 'Lori Whiteman'];2009;Publication;373;Frank;10
374;Semi-Automatic Practical Ontology Construction by Using a Thesaurus, Computational Dictionaries, and Large Corpora;['Sin-Jae Kang', 'Jong-Hyeok Lee'];2001;Publication;374;Frank;2
376;A Hypertext-Based Thesaurus as a Subject Browsing Aid for Bibliographic Databases.;['Richard Pollard'];1993;Publication;376;Frank;1
377;Comparing SNOMED CT and the NCI Thesaurus through Semantic Web Technologies.;['Olivier Bodenreider'];2008;Publication;377;Frank;1
378;A Software Processing Chain for Evaluating Thesaurus Quality.;['Javier Lacasta', 'Gilles Falquet', 'Javier Nogueras-Iso', 'F. Javier Zarazaga-Soria'];2016;Publication;378;Frank;4
379;Erweiterung des von H. L. Schneider begründeten deutschen Thesaurus der Ophthalmologie;['Ulrich Thelen'];1970;Publication;379;Frank;1
380;Thesaurus or Logical Ontology, Which One Do We Need for Text Mining?;"[""Jun'ichi Tsujii"", 'Sophia Ananiadou']";2005;Publication;380;Frank;2
381;A New Approach for Semi-automatic Building and Extending a Multilingual Terminology Thesaurus.;['Adam Rambousek', 'Ales Horák', 'Vit Suchomel', 'Vít Baisa'];2019;Publication;381;Frank;4
382;A thesaurus-based statistical language model for broadcast news transcription.;['Akio Ando', 'Akio Kobayashi', 'Toru Imai'];1998;Publication;382;Frank;3
383;Penser les nouvelles fonctionnalités du thesaurus;['Hadi Widad Mustafa el'];2000;Publication;383;Frank;1
384;An association thesaurus for information retrieval;['Y. Jing', 'W.B. Croft'];1994;Publication;384;Frank;2
385;Disambiguating Hypernym Relations for Roget's Thesaurus.;['Alistair Kennedy', 'Stan Szpakowicz'];2007;Publication;385;Frank;2
386;Automatic annotation of multilingual text collections with a conceptual thesaurus;['Bruno Pouliquen', 'Ralf Steinberger', 'Camelia Ignat'];2006;Publication;386;Frank;3
387;Thesaurus Performance with Information Retrieval: Schema Matching as a Case Study.;['Thabit Sabbah', 'Ali Selamat'];2013;Publication;387;Frank;2
388;MetaNet - A Metadata Term Thesaurus to Enable.;['Jane Hunter'];2001;Publication;388;Frank;1
389;Properties of a model of information retrieval system based on thesaurus with weights.;['Zygmunt Mazur'];1979;Publication;389;Frank;1
390;Formalisation and mapping of terminologies for Systems of Systems Engineering thesaurus.;['Huseyin Dogan', 'Vishal Barot', 'Michael Henshaw', 'Carys E. Siemieniuch'];2013;Publication;390;Frank;4
391;Roget2000: a 2D hyperbolic tree visualization of Roget's Thesaurus.;['Jason Baumgartner', 'Tim A. Waugh'];2002;Publication;391;Frank;2
392;Automatic Thesaurus Generation Using Co-occurrence;['Rogier Brussee', 'Christian Wartena'];2008;Publication;392;Frank;2
393;Cross-Domain Sentiment Classification Using a Sentiment Sensitive Thesaurus.;['Danushka Bollegala', 'David J. Weir', 'John A. Carroll'];2013;Publication;393;Frank;3
394;Dynamic Thesaurus Construction from English-Japanese Dictionary.;['Yoshihiro Shimoji', 'Taiki Wada', 'Sachio Hirokawa'];2008;Publication;394;Frank;3
395;The pre-history of the information retrieval thesaurus;['N. Roberts'];1984;Publication;395;Frank;1
396;Allowing Multiple Experts to Revise a Thesaurus Database.;['Norifumi Nishikawa', 'Hiroshi Tsuji'];1997;Publication;396;Frank;2
397;Experiments in Automatic Statistical Thesaurus Construction;['Carolyn J. Crouch', 'Bokyung Yang'];1992;Publication;397;Frank;2
398;Origins and trajectory of the long thesaurus debate;['Stella G. Dextre Clarke'];2016;Publication;398;Frank;1
399;Automatic Thesaurus Generation through Multiple Filtering.;['Kyo Kageura', 'Keita Tsuji', 'Akiko N. Aizawa'];2000;Publication;399;Frank;3
400;Replication of Published Subject Indicator as Thesaurus by Means of LDAP.;['Thomas Schwotzer', 'Agnes Cebulla'];2005;Publication;400;Frank;2
401;Der 'Nietzsche-Thesaurus' des Nietzsche-Online-Portals.;['Harald Zimmermann'];2004;Publication;401;Frank;1
402;Columbia university school of library service system for thesaurus development and maintenance.;['T. C. Hines', 'Jessica L. Harris'];1971;Publication;402;Frank;2
403;Thesaurus: Efficient Cache Compression via Dynamic Clustering.;['Amin Ghasemazar', 'Prashant Nair', 'Mieszko Lis'];2020;Publication;403;Frank;3
404;A SKOS-based multilingual thesaurus of geological time scale for interoperability of online geological maps.;['Xiaogang Ma', 'Emmanuel John M. Carranza', 'Chonglong Wu', 'Freek D. van der Meer', 'Gang Liu'];2011;Publication;404;Frank;5
405;The Effectiveness of the Thesaurus Method in Automatic Information Retrieval;['C. T. Yu', 'Gerard Salton'];1975;Publication;405;Frank;2
406;Erarbeitung eines allgemeinchirurgischen Thesaurus für ein Spracherkennungssystem zur EDV-gestützten OP-Berichtschreibung;['Christiane Schymanietz'];1997;Publication;406;Frank;1
407;Automatic Construction of a Phrasal Thesaurus for an Information Retrieval System from a Machine Readable Dictionary.;['Martha W. Evens', 'Thomas Ahlswede', 'J. Anderson', 'J. Neises', 'Sumali Pin-Ngern Conlon', 'Judith A. Markowitz'];1988;Publication;407;Frank;6
408;Exploiting Domain Thesaurus for Medical Record Retrieval.;['Miguel A. Callejas P.', 'Yue Wang', 'Hui Fang'];2012;Publication;408;Frank;3
409;Investigating the Effectiveness of Thesaurus Generated Using Tolerance Rough Set Model.;['Gloria Virginia', 'Hung Son Nguyen'];2011;Publication;409;Frank;2
410;Assessing Thesaurus-Based Annotations for Semantic Search Applications;['Kai Eckert', 'Magnus Pfeffer', 'Heiner Stuckenschmidt'];2008;Publication;410;Frank;3
411;The Semtinel Platform: New Approaches for Thesaurus Assessment.;['Kai Eckert', 'Heiner Stuckenschmidt', 'Magnus Pfeffer'];2009;Publication;411;Frank;3
412;Automatic Concept-Based Query Expansion Using Term Relational Pathways Built from a Collection-Specific Association Thesaurus.;['Jennifer Rae Lyall-Wilson'];2013;Publication;412;Frank;1
413;Regular Paths in SparQL: Querying the NCI Thesaurus.;['Landon Detwiler', 'Dan Suciu', 'James F. Brinkley'];2008;Publication;413;Frank;3
414;Development and Practical Use of a Medical Vocabulary-Thesaurus-Dictionary for Patient Empowerment.;['Marco Alfano', 'Biagio Lenzitti', 'Giosuè Lo Bosco', 'Davide Taibi'];2018;Publication;414;Frank;4
415;Exploiting Ontology and Thesaurus to Automatically Generate Smart Hyperlinks Based on Vector Space Model.;['Chih-Chung Wang', 'Don-Lin Yang', 'Yu Hen Hu', 'Wei-Cheng Liao'];2007;Publication;415;Frank;4
416;Roget's Thesaurus and Semantic Similarity;['Mario Jarmasz', 'Stan Szpakowicz'];2012;Publication;416;Frank;2
417;Thesaurus and beyond. An advanced formula for linguistic engineering and information retrieval;['W. Schmitz-Esser'];1999;Publication;417;Frank;1
418;Knowledge Based Systems Versus Thesaurus: An Architecture Problem About Expert Systems Design.;['Bruno Defude'];1984;Publication;418;Frank;1
419;Controlled Health Thesaurus for the CDC Web Redesign Project.;['Fabio Almeida', 'Mamie Bell', 'Eliana Chavez'];2003;Publication;419;Frank;3
420;A Fuzzy Mapping from Image Texture to Affective Thesaurus.;['Haifang Li', 'Jin Li', 'Jiancheng Song', 'Junjie Chen'];2007;Publication;420;Frank;4
421;Usability and user perceptions of a thesaurus-enhanced search interface.;['Ali Shiri', 'Crawford Revie'];2005;Publication;421;Frank;2
422;Context Thesaurus for the Extraction of Metadata from Medical Research Papers.;['Michael A. Shepherd', 'Carolyn R. Watters', 'June Young'];2004;Publication;422;Frank;3
423;Automatic crosslingual thesaurus generated from the Hong Kong SAR Police Department Web corpus for crime analysis.;['Kar Wing Li', 'Christopher C. Yang'];2005;Publication;423;Frank;2
425;Toward the Soundness of Sense Structure Definitions in Thesaurus-Dictionaries. Parsing Problems and Solutions.;['Neculai Curteanu', 'Mihai Alex Moruz'];2012;Publication;425;Frank;2
426;A System Structure and Data Structure for an Interactive On-Line Thesaurus.;['Jon T. Rickman', 'William E. Walden'];1972;Publication;426;Frank;2
427;Mapping AGROVOC and the Chinese Agricultural Thesaurus: Definitions, tools, procedures.;['Anita C. Liang', 'Margherita Sini'];2006;Publication;427;Frank;2
428;Automatic thesaurus construction from natural language definitions.;['Camilla Schwind', 'Jürgen M. Janas'];1977;Publication;428;Frank;2
429;Integrating thesaurus relationships into search and browse in an online photograph collection.;['Michelle Dalmau', 'Randall Floyd', 'Dazhi Jiao', 'Jenn Riley'];2005;Publication;429;Frank;4
430;Географический поиск в информационных системах с использованием ретроспективного тезауруса (Geographical Search in Information Systems Using Retrospective Thesaurus).;['Danil Skachkov', 'Oleg Zhizhimov'];2012;Publication;430;Frank;2
431;A Distributional Multi-word Thesaurus in Sketch Engine.;['Milos Jakubícek', 'Pavel Rychlý'];2019;Publication;431;Frank;2
432;Query Expansion with an Automatically Generated Thesaurus.;['José R. Pérez-Agüera', 'Lourdes Araujo'];2006;Publication;432;Frank;2
433;Improving Persian Text Classification and Clustering Using Persian Thesaurus.;['Hamid Parvin', 'Atousa Dahbashi', 'Sajad Parvin', 'Behrouz Minaei-Bidgoli'];2012;Publication;433;Frank;4
434;Association thesaurus construction methods based on link co-occurrence analysis for wikipedia;['Masahiro Ito', 'Kotaro Nakayama', 'Takahiro Hara', 'Shojiro Nishio'];2008;Publication;434;Frank;4
435;An Empirical Study into User Problems with Thesaurus and Commercial Search Systems.;['Anthony Davies', 'Mandeep Kaler'];2006;Publication;435;Frank;2
436;Thesaurus Analysis and Visualization in Semantic Search Applications;['Kai Eckert'];2007;Publication;436;Frank;1
437;Language processing and the thesaurus;['Yorick Wilks'];1997;Publication;437;Frank;1
438;A New Angle-Based Spatial Modeling for Query by Visual Thesaurus Composition.;['Hichem Houissa', 'Nozha Boujemaa'];2007;Publication;438;Frank;2
439;Building a web thesaurus from web link structure.;['Zheng Chen', 'Shengping Liu', 'Liu Wenyin', 'Geguang Pu', 'Wei-Ying Ma'];2003;Publication;439;Frank;5
440;Citation context analysis as a tool in dynamic thesaurus generation.;['Jean Tague'];1985;Publication;440;Frank;1
441;The OAEI food task: An analysis of a thesaurus alignment task.;['Willem Robert van Hage', 'Margherita Sini', 'Lori Finch', 'Hap Kolb', 'Guus Schreiber'];2010;Publication;441;Frank;5
442;Query Rewriting with Thesaurus-Based for Handling Semantic Heterogeneity in Database Integration.;['I Made Riyan Adi Nugroho', 'I Wayan Budi Sentana'];2020;Publication;442;Frank;2
443;Evaluating Thesaurus Alignments for Semantic Interoperability in the Library Domain;['Antoine Isaac', 'Shenghui Wang', 'Claus Zinn', 'Henk Matthezing', 'Lourens van der Meij', 'Stefan Schlobach'];2009;Publication;443;Frank;6
444;Terminology Retrieval: Towards a Synergy between Thesaurus and Free Text Searching.;['Anselmo Peñas', 'Felisa Verdejo', 'Julio Gonzalo'];2002;Publication;444;Frank;3
445;An Online Multi-Lingual, Multi-Faith Thesaurus: A Progress Report on F-THES.;['A. Neelameghan', 'K. S. Raghavan'];2005;Publication;445;Frank;2
446;Redefining a Thesaurus: Term-Centric No More;['D. Johnston', 'S.J. Nelson', 'J.L.A. Schulman', 'A.G. Savage', 'T.P. Powell'];1998;Publication;446;Frank;5
447;A History of Roget's Thesaurus: Origins, Development, and Design;['Werner Hüllen'];2005;Publication;447;Frank;1
448;Thesaurus construction through knowledge representation.;['Sean Bechhofer', 'Carole A. Goble'];2001;Publication;448;Frank;2
449;A computer based retrieval system using a reactive thesaurus.;['F. Robinson'];1970;Publication;449;Frank;1
450;MediaMill: Video Search using a Thesaurus of 500 Machine Learned Concepts.;['Cees G. M. Snoek', 'Marcel Worring', 'Bouke Huurnink', 'Jan C. van Gemert', 'Koen E. A. van de Sande', 'Dennis Koelma', 'Ork de Rooij'];2006;Publication;450;Frank;7
451;Thesaurus für die Kreditwirtschaft;[' ?'];1986;Publication;451;Frank;1
452;FACET: thesaurus retrieval with semantic term expansion.;['Douglas Tudhope', 'Ceri Binding', 'Dorothee Blocks', 'Daniel Cunliffe'];2002;Publication;452;Frank;4
453;Thesaurus expansion using similar word pairs from patent documents.;['Yoshimi Suzuki', 'Fumiyo Fukumoto'];2006;Publication;453;Frank;2
454;How a general and a specific thesaurus cover expressions in patients' questions and physicians' answers.;['Johanna Eerola', 'Pertti Vakkari'];2008;Publication;454;Frank;2
455;Solving Concept mismatch through Bayesian Framework by Extending UMLS Meta-Thesaurus.;['Karam Abdulahhad', 'Jean-Pierre Chevallet', 'Catherine Berrut'];2011;Publication;455;Frank;3
456;The Drug Ontology Project for Elsevier - An RDF Architecture Enabling Thesaurus-Driven Data Integration.;['Jeen Broekstra', 'Christiaan Fluit', 'Arjohn Kampman', 'Frank van Harmelen', 'Heiner Stuckenschmidt', 'Ravinder Bhogal', 'A. Scerri', 'Anita de Waard', 'Erik M. van Mulligen'];2004;Publication;456;Frank;9
457;Automatic Processing of Multilingual Medical Terminology: Applications to Thesaurus Enrichment and Cross-Language Information Retrieval;['Hervé Déjean', 'Éric Gaussier', 'Jean-Michel Renders', 'Fatia Sadat'];2005;Publication;457;Frank;4
458;Experiments in Automatic Thesaurus Construction for Information Retrieval.;['Gerard Salton'];1971;Publication;458;Frank;1
459;A Classification as a Source for a Thesaurus: the bibliographic Classification of H. E. Bliss as a Source of Thesaurus Terms and Structure.;['Jean Aitchison'];1986;Publication;459;Frank;1
462;Automatic Thesaurus Generation for an Electronic Community System;[' Chen', ' Hsinchun', ' Schatz', 'R. Bruce', ' Yim', ' Tak', ' Fye', ' David'];1995;Publication;462;Frank;8
463;Sentiment classification of long newspaper articles based on automatically generated thesaurus with various semantic relationships.;['Ivan Shchitov', 'Ksenia Lagutina', 'Nadezhda Lagutina', 'Ilya Paramonov'];2017;Publication;463;Frank;4
464;Still quite popular after all those years : the continued relevance of the information retrieval thesaurus;['Douglas Tudhope', 'Ceri Binding'];2016;Publication;464;Frank;2
466;An Attempt to Automatic Thesaurus Construction from an Ordinary Japanese Language Dictionary.;['Hiroaki Tsurumaru', 'Toru Hitaka', 'Sho Yoshida'];1986;Publication;466;Frank;3
467;A Case Study for Multilingual Support: Applying the AAT-Thesaurus to TELDAP's Multilingual Project.;['Hsueh hua Chen', 'Shu-Jiun Chen', 'Shin-Yen Lee', 'Jessamine Cheng'];2011;Publication;467;Frank;4
468;Towards a user-oriented thesaurus for non-domain-specific image collections.;['JungWon Yoon'];2009;Publication;468;Frank;1
469;Statistical relationship determination in automatic thesaurus construction.;['Libo Chen', 'Peter Fankhauser', 'Ulrich Thiel', 'Thomas Kamps'];2005;Publication;469;Frank;4
470;Basic Word Statistics for Information Retrieval: Thesaurus as a Complex Network;['A. J. Holanda', 'I. T. Pisa', 'O. Kinouchi', 'A. S. Martinez', 'E. E. S. Ruiz'];2003;Publication;470;Frank;5
471;Biomedical Retrieval: How Can a Thesaurus Help?.;['Leonie IJzereef', 'Jaap Kamps', 'Maarten de Rijke'];2005;Publication;471;Frank;3
472;Auto-construction of a live thesaurus from search term logs for interactive Web search.;['Shui-Lung Chuang', 'Hsiao-Tieh Pu', 'Wen-Hsiang Lu', 'Lee-Feng Chien'];2000;Publication;472;Frank;4
473;Semantic Analysis of Abstract Nouns to Compile a Thesaurus of Adjectives.;['Kyoko Kanzaki', 'Qing Ma', 'Eiko Yamamoto', 'Hitoshi Isahara'];2006;Publication;473;Frank;4
474;Query Expansion Using Domain Adapted, Weighted Thesaurus in an Extended Boolean Model.;['Oh-Woog Kwon', 'Myoung-Cheol Kim', 'Key-Sun Choi'];1994;Publication;474;Frank;3
475;"Automatic generation of a multilingual similarity thesaurus from
	the Web";['F. Mart�nez-Santiago', 'M. Garc�a-Vega', 'M.T. Mart�n-Valdivia', 'L.A. Ure�a-L�pez'];2003;Publication;475;Frank;4
476;Poetology: Problems of Constructing a Thesaurus and Verse Text Specification.;['V. N. Boykov', 'M. S. Karyaeva'];2019;Publication;476;Frank;2
477;clear;[' ?'];2009;Publication;477;Frank;1
478;Towards Multimedia Thesaurus Support for Media-based Navigation.;['Paul H. Lewis', 'Hugh C. Davis', 'Mark R. Dobie', 'Wendy Hall'];1998;Publication;478;Frank;4
479;Construction of a Dynamic Thesaurus and its Use for Associated Information Retrieval.;['Haruo Kimoto', 'Toshiaki Iwadera'];1990;Publication;479;Frank;2
480;Unsupervised WSD by Finding the Predominant Sense Using Context as a Dynamic Thesaurus.;['Javier Tejada-Cárcamo', 'Hiram Calvo', 'Alexander F. Gelbukh', 'Kazuo Hara'];2010;Publication;480;Frank;4
481;The Unified Astronomy Thesaurus: Semantic Metadata for Astronomy and Astrophysics.;['Katie Frey', 'Alberto Accomazzi'];2018;Publication;481;Frank;2
482;Thesaurus based automatic keyphrase indexing;['O. Medelyan', 'Witten I.'];2006;Publication;482;Frank;2
483;Towards a Thesaurus of Predicates.;['Satoshi Shirai', 'Kazuhide Yamamoto', 'Francis Bond', 'Hozumi Tanaka'];2002;Publication;483;Frank;4
484;A flow chart for indexing with a thesaurus.;['Hans H. Wellisch'];1972;Publication;484;Frank;1
485;Interactive Query Expansion Based on Fuzzy Association Thesaurus for Web Information Retrieval.;['Hahn-Ming Lee', 'Sheng-Kang Lin', 'Chiung-Wei Huang'];2001;Publication;485;Frank;3
486;Thesaurus and ontology structure : formal and pragmatic differences and similarities;['Daniel Kless', 'Simon Milton', 'Edmund Kazmierczak', 'Jutta Lindenthal'];2015;Publication;486;Frank;4
487;Graph-Based Equivalence Concept Matching in Knowledge Organization System Integration: A Case Study on Thesaurus.;['Wei Liu', 'Jing Su', 'Xiao Lei', 'Zhen Xu'];2018;Publication;487;Frank;4
488;The Unified Astronomy Thesaurus;['Alberto Accomazzi', 'Norman Gray', 'Chris Erdmann', 'Chris Biemesderfer', 'Katie Frey', 'Justin Soles'];2014;Publication;488;Frank;6
489;The integration of folksonomies within a thesaurus in a social science Web portal: SIDBRINT.;['Gemma Masó-Maresma', 'Montserrat Sebastià-Salat'];2013;Publication;489;Frank;2
490;Twitter Noun-Verb Relation Thesaurus Tree.;['Naoki Urabe', 'Jun Rokui'];2018;Publication;490;Frank;2
491;Evaluation of a Sentence Ranker for Text Summarization Based on Roget's Thesaurus.;['Alistair Kennedy', 'Stan Szpakowicz'];2010;Publication;491;Frank;2
492;Roget's thesaurus and semantic similarity;['Mario Jarmasz', 'Stan Szpakowicz'];2003;Publication;492;Frank;2
493;Thesaurus Ökonomie;[' ?'];1973;Publication;493;Frank;1
494;Building a Cross-lingual Relatedness Thesaurus using a Graph Similarity Measure.;['Lukas Michelbacher', 'Florian Laws', 'Beate Dorow', 'Ulrich Heid', 'Hinrich Schütze'];2010;Publication;494;Frank;5
495;Automatic Thesaurus Generation for an Electronic Community System.;['Hsinchun Chen', 'Tak Yim', 'David Fye', 'Bruce R. Schatz'];1995;Publication;495;Frank;4
496;Mehrsprachiger Thesaurus der Berufsausbildung;[' ?'];1992;Publication;496;Frank;1
497;Aufbau eines Diagnose-Thesaurus in der Orthopädie;['Frank Bender'];1998;Publication;497;Frank;1
498;Query expansion behavior within a thesaurus-enhanced search environment: A user-centered evaluation.;['Ali Asghar Shiri', 'Crawford Revie'];2006;Publication;498;Frank;2
499;Thesaurus-Based Method of Increasing Text-via-Keyphrase Graph Connectivity During Keyphrase Extraction for e-Tourism Applications.;['Ilya Paramonov', 'Ksenia Lagutina', 'Eldar Mamedov', 'Nadezhda Lagutina'];2016;Publication;499;Frank;4
500;Design of a web-based thesaurus for Systems of Systems Engineering.;['Vishal Barot', 'Michael Henshaw', 'Carys E. Siemieniuch', 'Huseyin Dogan'];2013;Publication;500;Frank;4
501;Preliminary research on thesaurus-based query expansion for Twitter data extraction.;['Vidya Nakade', 'Aibek Musaev', 'Travis Atkison'];2018;Publication;501;Frank;3
502;European training thesaurus;[' ?'];2008;Publication;502;Frank;1
503;An automatically constructed thesaurus for neural network based document categorization.;['Cheng Hua Li', 'Wei Song', 'Soon Cheol Park'];2009;Publication;503;Frank;3
504;Government Ontology and Thesaurus Construction: A Taiwanese Experience.;['Chao-Chen Chen', 'Jian-Hua Yeh', 'Shun hong Sie'];2005;Publication;504;Frank;3
505;Ensemble Methods for Automatic Thesaurus Extraction.;['James Curran'];2002;Publication;505;Frank;1
506;Thesaurus-Based Search in Large Heterogeneous Collections;['Jan Wielemaker', 'Michiel Hildebrand', 'Jacco van Ossenbruggen', 'Guus Schreiber'];2008;Publication;506;Frank;4
507;Intelligent information retrieval system using automatic thesaurus construction.;['Wei Song', 'Ju Cheng Yang', 'Cheng Hua Li', 'Soon Cheol Park'];2011;Publication;507;Frank;4
508;Improving the Acessibility of a Thesaurus-Based Catalog by Web Content Mining;['Gijs Geleijnse', 'Jan Korst'];2007;Publication;508;Frank;2
509;Near-Synonym Choice in an Intelligent Thesaurus.;['Diana Zaiu Inkpen'];2007;Publication;509;Frank;1
510;Exploiting a Large Thesaurus for Information Retrieval.;['Alan R. Aronson'];1994;Publication;510;Frank;1
511;Thesaurus – A new word in documentation;['B.C Vickery'];1960;Publication;511;Frank;1
512;Fine keyword clustering using a thesaurus and example sentences for speech translation.;['Yumi Wakita', 'Kenji Matsui', 'Yoshinori Sagisaka'];2000;Publication;512;Frank;3
513;Representing Laboratory Test Findings: Relating the Read Thesaurus to LOINC™ and the CEN ENV 1614 Prestandard.;"['David Robinson', 'Colin Price', 'Philip J. B. Brown', 'Rick Jones', ""Mike O'Neil""]";1998;Publication;513;Frank;5
514;Knowledge Acquisition: Classification of Terms in a Thesaurus from a Corpus.;['Jean-David Sta'];1997;Publication;514;Frank;1
515;Combining Bootstrapping and Feature Selection for Improving a Distributional Thesaurus.;['Olivier Ferret'];2012;Publication;515;Frank;1
516;A cost-effective lexical acquisition process for large-scale thesaurus translation.;['Jimmy J. Lin', 'G. Craig Murray', 'Bonnie J. Dorr', 'Jan Hajic', 'Pavel Pecina'];2009;Publication;516;Frank;5
517;Extending a Thesaurus with Words from Pan-Chinese Sources.;"['Oi Yee Kwong', ""Benjamin Ka-Yin T'sou""]";2008;Publication;517;Frank;2
518;Thesaurus-Based Feedback to Support Mixed Search and Browsing Environments.;['Edgar Meij', 'Maarten de Rijke'];2007;Publication;518;Frank;2
519;An Improved Fast Algorithm of Frequent String Extracting with no Thesaurus.;['Yumeng Zhang', 'Chuanhan Liu'];2007;Publication;519;Frank;2
520;Utilizing, Creating and Publishing Linked Open Data with the Thesaurus Management Tool PoolParty.;['Thomas Schandl', 'Andreas Blumauer'];2010;Publication;520;Frank;2
521;Thesaurus construction and use: a practical manual;['J. Aitchison', 'A. Gilchrist', 'D. Bawden'];1997;Publication;521;Frank;3
522;Thesaurus maintenance, alignment and publication as linked data: the AGROVOC use case.;['Caterina Caracciolo', 'Armando Stellato', 'Sachit Rajbhandari', 'Ahsan Morshed', 'Gudrun Johannsen', 'Johannes Keizer', 'Yves Jaques'];2012;Publication;522;Frank;7
523;The application of a minicomputer to thesaurus construction.;['Edward John Kazlauskas', 'Thomas D. Holt'];1980;Publication;523;Frank;2
524;Query Expansion in Information Retrieval Systems using a Bayesian Network-Based Thesaurus.;['Luis M. de Campos', 'Juan M. Fernández-Luna', 'Juan F. Huete'];1998;Publication;524;Frank;3
525;Thesaurus Maintenance, Alignment and Publication as Linked Data: The AGROOVOC Use Case.;['Caterina Caracciolo', 'Ahsan Morshed', 'Armando Stellato', 'Gudrun Johannsen', 'Yves Jaques', 'Johannes Keizer'];2011;Publication;525;Frank;6
526;"What is all this new MeSH about?
Exploring the semantic provenance of new descriptors in the MeSH thesauru";"['Änastasios Nentidis""', 'Änastasia Krithara""', '""Grigorios Tsoumakas""', '""Georgios Paliouras""']";2021;Publication;526;Frank;4
527;What’s in a thesaurus?;"['Adam"" ""Kilgarriff', 'Collin"" ""Yallop']";2000;Publication;527;Frank;2
528;Statistical Analysis for Thesaurus Construction using an Encyclopedic Corpus.;['Yasunori Ohishi', 'Katunobu Itou', 'Kazuya Takeda', 'Atsushi Fujii'];2006;Publication;528;Frank;4
529;Constructing the InterPARES Thesaurus: A Vocabulary Tool for Diverse Research Communities.;['Nadav Rouche'];2004;Publication;529;Frank;1
530;Improving Unsupervised WSD with a Dynamic Thesaurus.;['Javier Tejada-Cárcamo', 'Hiram Calvo', 'Alexander F. Gelbukh'];2008;Publication;530;Frank;3
531;Thesaurus-based automatic query expansion for interface-driven code search.;['Otávio Augusto Lazzarini Lemos', 'Adriano Carvalho de Paula', 'Felipe Capodifoglio Zanichelli', 'Cristina Videira Lopes'];2014;Publication;531;Frank;4
532;REquirements TRacing On target (RETRO) enhanced with an automated thesaurus builder: An empirical study.;['Sandeep Pandanaboyana', 'Shreeram Sridharan', 'Jesse Yannelli', 'Jane Huffman Hayes'];2013;Publication;532;Frank;4
533;Thesaurus and metadata alignment for a semantic e-culture application.;['Anna Tordai', 'Borys Omelayenko', 'Guus Schreiber'];2007;Publication;533;Frank;3
