;title_s;authors;year_i;type;id;collected_by;number_authors
51;TheSoz: A SKOS Representation of the Thesaurus for the Social Sciences;['Benjamin Zapilko', 'Johann Schaible', 'Philipp Mayr', 'Brigitte Mathiak'];2012;Publication;51;Frank;4
52;Integrating Query, Thesaurus, and Documents Through a Common Visual Representation.;['Richard H. Fowler', 'Wendy A. Lawrence-Fowler', 'Bradley A. Wilson'];1991;Publication;52;Frank;3
53;Roget's Thesaurus: a Lexical Resource to Treasure;['Mario Jarmasz', 'Stan Szpakowicz'];2012;Publication;53;Frank;2
54;Thesaurus proverbiorum medii aevi;['S. Singer'];2001;Publication;54;Frank;1
55;The calculation of similarities between multi-word strings using a thesaurus.;['Chris D. Paice', 'V. Aragón-Ramírez'];1985;Publication;55;Frank;2
56;A Divergent-Style Learning Support Tool for English Learners Using a Thesaurus Diagram.;['Chie Shimodaira', 'Hiroshi Shimodaira', 'Susumu Kunifuji'];2006;Publication;56;Frank;3
57;Der Einsatz des Standard-Thesaurus Wirtschaft im HWWA. Ein Instrument zur Qualitätssicherung von wirtschaftswissenschaftlichen Fachinformationen.;['M. Gastmeyer'];2000;Publication;57;Frank;1
58;Méthodologie de transformation d'un thesaurus en une ontologie de domaine.;['Claude Chrisment', 'Ollivier Haemmerlé', 'Nathalie Hernandez', 'Josiane Mothe'];2008;Publication;58;Frank;4
59;UK Data Archive Keyword Indexing with a SKOS Version of HASSET Thesaurus.;['Mahmoud El-Haj'];2013;Publication;59;Frank;1
60;Towards a Swedish Roget-Style Thesaurus for NLP.;['Niklas Zechner', 'Lars Borin'];2020;Publication;60;Frank;2
61;Query Expansion using an Automatically Constructed Thesaurus.;['Hidetsugu Nanba'];2007;Publication;61;Frank;1
62;Construction of a Fuzzy Multilingual Thesaurus and Its Application to Cross-Lingual Text Retrieval.;['Rowena Chau', 'Chung-Hsing Yeh'];2001;Publication;62;Frank;2
63;Thesaurus;['D.J. Foskett'];1997;Publication;63;Frank;1
64;Architecting a Cross-Disciplinary Thesaurus for the Semantic Web.;['W. Davenport Robertson', 'Jane Greenberg'];2004;Publication;64;Frank;2
65;Cross-Language High Similarity Search Using a Conceptual Thesaurus.;['Parth Gupta', 'Alberto Barrón-Cedeño', 'Paolo Rosso'];2012;Publication;65;Frank;3
66;Thésaurus pour la Sécurité Radiologique à partir d'un corpus de textes et d'outils linguistiques en ligne.;['Olena Goncharova-Orobinska', 'Jean-Hugues Chauchat', 'Natalya Sharonova'];2017;Publication;66;Frank;3
67;Hazardous Document Detection Based on Dependency Relations and Thesaurus.;['Kazushi Ikeda', 'Tadashi Yanagihara', 'Gen Hattori', 'Kazunori Matsumoto', 'Yasuhiro Takishima'];2010;Publication;67;Frank;5
68;A Proposal for a Thesaurus for Web Services in Solar Radiation.;['Benoît Gschwind', 'Lionel Ménard', 'Thierry Ranchin', 'Lucien Wald', 'Paul W. Stackhouse Jr.'];2007;Publication;68;Frank;5
69;Towards a Tatar Wordnet: a Methodology of Using Tatar Thesaurus (short paper).;['Alfiya M. Galieva', 'Alexander Kirillovich', 'Natalia Loukachevich', 'Olga Nevzorova'];2019;Publication;69;Frank;4
70;The European Thesaurus on International Relations and Area Studies - a Multilingual Resource for Indexing, Retrieval, and Translation.;['Michael Kluck', 'Axel Huckstorf'];2008;Publication;70;Frank;2
71;Determining Word Sense Dominance Using a Thesaurus.;['Saif Mohammad', 'Graeme Hirst'];2006;Publication;71;Frank;2
72;Restoring accents in unknown biomedical words: application to the French MeSH thesaurus.;['Pierre Zweigenbaum', 'Natalia Grabar'];2002;Publication;72;Frank;2
73;EnvThes - interlinked thesaurus for long term ecological research, monitoring, and experiments.;['Herbert Schentz', 'Johannes Peterseil', 'Nic Bertrand'];2013;Publication;73;Frank;3
74;Leveraging Non-lattice Subgraphs to Audit Hierarchical Relations in NCI Thesaurus.;['Rashmie Abeysinghe', 'Michael A. Brooks', 'Licong Cui'];2019;Publication;74;Frank;3
75;Thesaurus Wirtschaft;[' ?'];1991;Publication;75;Frank;1
76;Tailoring the NCI Thesaurus for Use in The OBO Library.;['James P. Balhoff', 'Matthew H. Brush', 'Laura Christopherson', 'Sherri de Coronado', 'Gilberto Fragoso', 'Melissa A. Haendel', 'Christopher J. Mungall', 'Kimberly Robasky', 'Nicole A. Vasilevsky', 'Lawrence W. Wright'];2017;Publication;76;Frank;10
77;Und sie bewegt sich doch! : der Einsatz eines Thesaurus zur Unterstützung der Sacherschließung in einem Discoverysystem;['Friederike Borchert', 'Petra Keidel'];2014;Publication;77;Frank;2
79;A Thesaurus for Remote Sensing and GIS: Preliminary Version and Future Plans.;['Alessandra Grignetti', 'Paolo Plini', 'Fulvio Mazzocchi', 'Valentina De Santis'];2005;Publication;79;Frank;4
80;Thesaurus Extension using Web Search Engines;['Robert Meusel', 'Mathias Niepert', 'Kai Eckert', 'Heiner Stuckenschmidt'];2010;Publication;80;Frank;4
81;An approach to automated thesaurus construction using clusterization-based dictionary analysis.;['Nadezhda Lagutina', 'Ilya Paramonov', 'Inna Vorontsova', 'Natalia Kasatkina'];2015;Publication;81;Frank;4
82;Auditing the NCI Thesaurus with Semantic Web Technologies.;['Fleur Mougin', 'Olivier Bodenreider'];2008;Publication;82;Frank;2
83;Thesaurus as a complex network;['Adriano de Jesus Holanda', 'Ivan Torres Pisa', 'Osame Kinouchi', 'Alexandre Souto Martinez', 'Evandro Eduardo Seron Ruiz'];2004;Publication;83;Frank;5
84;VOCED Thesaurus of vocational education and training descriptors;[' ?'];2006;Publication;84;Frank;1
85;Approaches to Thesaurus Production;['A. Michiels', 'J. Noel'];1982;Publication;85;Frank;2
86;Thesaurus Construction and Use: A Practical Manual;['Jean Aitchison', 'David Bawden', 'Alan Gilchrist'];2000;Publication;86;Frank;3
87;From Thesaurus Towards Ontologies in Large Legal Databases.;['Angel Sancho Ferrer', 'Carlos Fernández Hernández', 'Jose Manuel Mateo Rivero'];2011;Publication;87;Frank;3
88;Thesaurus Federations: Loosely Integrated Thesauri for Document Retrieval in Networks Based on Internet Technologies.;['Ralf Kramer', 'Ralf Nikolai', 'Corinna Habeck'];1997;Publication;88;Frank;3
89;Concept detection and keyframe extraction using a visual thesaurus;['E. Spyrou', 'G. Tolias', 'Y. Avrithis'];2009;Publication;89;Frank;3
90;Building thesaurus-based knowledge graph based on schema layer.;['Bo Qiao', 'Kui Fang', 'Yiming Chen', 'Xinghui Zhu'];2017;Publication;90;Frank;4
91;SIOP-LEGIS: Thesaurus for Selection and Management of Brazilian Treasury Domain.;['Stainam Nogueira Brandão', 'Tiago Santos da Silva', 'Sérgio Rodrigues', 'Luis Araujo', 'Daniel Silva', 'Jano Moreira de Souza'];2011;Publication;91;Frank;6
92;Subject Knowledge, Thesaurus-assisted Query Expansion and Search Success.;['Anne Sihvonen', 'Pertti Vakkari'];2004;Publication;92;Frank;2
93;Multilingual thesaurus construction –integrating the views of different cultures in one gateway to knowledge and concepts;['M. Hudon'];1997;Publication;93;Frank;1
94;The multilingual thesaurus of LAURIN.;['Diego Calvanese', 'Tiziana Catarci', 'Maurizio Lenzerini', 'Giuseppe Santucci'];2002;Publication;94;Frank;4
95;Enriching a Formal Ontology with a Thesaurus: an Application in the Cultural Heritage Domain;['R. Navigli', 'P. Velarda'];2006;Publication;95;Frank;2
96;The Building of Chinese Emotion Thesaurus Using HowNet Based on the Main Sememe.;['Bin Liu', 'Fuji Ren', 'Cong Wang'];2008;Publication;96;Frank;3
97;A Methodological Approach to Automatic Thesaurus Construction.;['Roy Rada'];1986;Publication;97;Frank;1
98;Linking the Thesaurus for the Social Sciences to the Web of Linked Data;['Benjamin Zapilkko Andias Wira Alam, Andreas Oskar Kempf'];2014;Publication;98;Frank;1
99;An associative thesaurus of English and its computer analysis;['G. R. Kiss', 'C. Armstrong', 'R. Milroy', 'J. Piper'];1973;Publication;99;Frank;4
100;The thesaurus in syntax and semantics.;['Margaret Masterman'];1957;Publication;100;Frank;1
101;Generalizing Case Frames Using a Thesaurus and the MDL Principle;['Hang Li', 'Naoki Abe'];1995;Publication;101;Frank;2
102;Thesaurus-based methods for mapping contents of publication sets.;['Kevin W. Boyack'];2017;Publication;102;Frank;1
103;Photograph Retrieval and Classification by Visual Keywords and Thesaurus.;['Joo-Hwee Lim'];2000;Publication;103;Frank;1
104;Thesaurus-Based Methods for Assessment of Text Complexity in Russian.;['Valery D. Solovyev', 'Vladimir Ivanov', 'Marina Solnyshkina'];2020;Publication;104;Frank;3
105;The ARTeFACT Movement Thesaurus: toward an open-source tool to mine movement-derived data.;['Susan L. Wiesner', 'Bradford C. Bennett', 'Rommie L. Stalnaker'];2012;Publication;105;Frank;3
106;Theoretical foundations of thesaurus-construction and some methodological considerations for thesaurus-updating.;['Chai Kim'];1973;Publication;106;Frank;1
107;Ontologising Semantic Relations into a Relationless Thesaurus.;['Hugo Gonçalo Oliveira', 'Paulo Gomes'];2012;Publication;107;Frank;2
108;Using Co-Occurrence Data to Determine a Thesaurus Structure.;['James E. Andrews', 'Timothy B. Patrick', 'David E. Moxley', 'Colleen M. Meyer', 'Mihail Popescu', 'MaryEllen C. Sievert'];1998;Publication;108;Frank;6
109;Thesaurus Construction and Use: a Practical Manual, 4th ed.;"['Jean"" Äitchison', 'Alan"" ""Gilchrist', 'David"" ""Bawden']";2002;Publication;109;Frank;3
110;Imagisaurus: An Interactive Visualizer of Valence and Emotion in the Roget's Thesaurus.;['Saif Mohammad'];2015;Publication;110;Frank;1
111;Thesaurus en éducation pour la santé;[' INPES'];2007;Publication;111;Frank;1
112;Using a Medical Thesaurus to Predict Query Difficulty.;['Florian Boudin', 'Jian-Yun Nie', 'Martin Dawes'];2012;Publication;112;Frank;3
113;"Corpus-Based Thesaurus Construction for Image Retrieval
               in Specialist Domains";['Khurshid Ahmad', 'Mariam Tariq', 'Bogdan Vrusias', 'Chris Handy'];2003;Publication;113;Frank;4
